genotype	glucose	fructose
DULCEA	67,5	73,3
DULCEA	62,1	67,4
DULCEA	47,7	52,4
DULCEA	61,9	81,4
DULCEA	50,8	70,1
DULCEA	59,3	93,0
DULCEA	50,5	85,8
DULCEA	44,9	78,9
DULCEA	45,6	81,3
DULCEA	52,8	87,2
DULCEA	62,5	89,0
DULCEA	38,7	69,7
DULCEA	25,4	53,3
DULCEA	28,2	57,8
DULCEA	28,3	61,2
DULCEA	23,1	52,3
DULCEA	18,4	48,7
DULCEA	20,5	50,7
DULCEA	44,3	94,2
DULCEA	39,4	76,6
DULCEA	35,5	67,9
DULCEA	11,0	32,8
DULCEA	16,1	40,5
DULCEA	12,2	32,6
DULCEA	29,6	68,0
DULCEA	36,7	78,1
DULCEA	31,6	71,4
DULCEA	11,7	35,6
DULCEA	17,0	48,8
DULCEA	14,9	49,3
DULCEA	10,2	49,1
DULCEA	8,0	40,2
DULCEA	9,5	38,8
DULCEA	4,7	14,3
DULCEA	6,1	16,4
DULCEA	6,9	30,9
DULCEA	8,5	30,1
DULCEA	5,9	28,8
DULCEA	5,5	29,4
MOYA	32,7	44,3
MOYA	42,1	58,2
MOYA	49,8	67,2
MOYA	49,0	68,8
MOYA	43,4	60,1
MOYA	40,5	50,8
MOYA	31,2	49,5
MOYA	37,7	53,2
MOYA	19,7	29,2
MOYA	36,7	51,0
MOYA	24,4	34,4
MOYA	32,5	53,4
MOYA	25,6	40,8
MOYA	55,0	87,8
MOYA	31,4	42,3
MOYA	24,6	33,6
MOYA	28,1	43,3
MOYA	23,3	43,4
MOYA	20,9	38,9
MOYA	14,7	26,3
MOYA	25,2	39,2
MOYA	19,0	29,0
MOYA	22,1	34,1
MOYA	26,7	48,2
MOYA	30,2	55,8
MOYA	26,7	52,2
MOYA	23,0	38,2
MOYA	14,7	28,2
MOYA	14,3	27,1
